2.050000000000000711e+00,5.800000000000000711e+00,2.664168648683065577e+00
1.949999999999999289e+00,5.850000000000001421e+00,2.664168648683065577e+00
2.000000000000003553e+00,5.850000000000001421e+00,2.664168648683065577e+00
1.849999999999997868e+00,5.900000000000002132e+00,2.664168648683065577e+00
1.900000000000002132e+00,5.900000000000002132e+00,2.664168648683065577e+00
1.750000000000003553e+00,5.949999999999999289e+00,2.664168648683065577e+00
1.800000000000000711e+00,5.949999999999999289e+00,2.664168648683065577e+00
1.650000000000002132e+00,6.000000000000000000e+00,2.664168648683065577e+00
1.699999999999999289e+00,6.000000000000000000e+00,2.664168648683065577e+00
1.550000000000000711e+00,6.050000000000000711e+00,2.664168648683065577e+00
1.599999999999997868e+00,6.050000000000000711e+00,2.664168648683065577e+00
1.449999999999999289e+00,6.100000000000001421e+00,2.664168648683065577e+00
1.500000000000003553e+00,6.100000000000001421e+00,2.664168648683065577e+00
1.349999999999997868e+00,6.150000000000002132e+00,2.664168648683065577e+00
1.400000000000002132e+00,6.150000000000002132e+00,2.664168648683065577e+00
1.250000000000003553e+00,6.199999999999999289e+00,2.664168648683065577e+00
1.300000000000000711e+00,6.199999999999999289e+00,2.664168648683065577e+00
1.150000000000002132e+00,6.250000000000000000e+00,2.664168648683065577e+00
1.199999999999999289e+00,6.250000000000000000e+00,2.664168648683065577e+00
1.250000000000003553e+00,6.250000000000000000e+00,2.664168648683065577e+00
1.099999999999997868e+00,6.300000000000000711e+00,2.664168648683065577e+00
1.000000000000003553e+00,6.350000000000001421e+00,2.664168648683065577e+00
1.050000000000000711e+00,6.350000000000001421e+00,2.664168648683065577e+00
9.000000000000021316e-01,6.400000000000002132e+00,2.664168648683065577e+00
9.499999999999992895e-01,6.400000000000002132e+00,2.664168648683065577e+00
8.000000000000007105e-01,6.449999999999999289e+00,2.664168648683065577e+00
8.499999999999978684e-01,6.449999999999999289e+00,2.664168648683065577e+00
6.999999999999992895e-01,6.500000000000000000e+00,2.664168648683065577e+00
7.500000000000035527e-01,6.500000000000000000e+00,2.664168648683065577e+00
5.999999999999978684e-01,6.550000000000000711e+00,2.664168648683065577e+00
6.500000000000021316e-01,6.550000000000000711e+00,2.664168648683065577e+00
5.000000000000035527e-01,6.600000000000001421e+00,2.664168648683065577e+00
5.500000000000007105e-01,6.600000000000001421e+00,2.664168648683065577e+00
4.000000000000021316e-01,6.650000000000002132e+00,2.664168648683065577e+00
4.499999999999992895e-01,6.650000000000002132e+00,2.664168648683065577e+00
3.000000000000007105e-01,6.699999999999999289e+00,2.664168648683065577e+00
3.499999999999978684e-01,6.699999999999999289e+00,2.664168648683065577e+00
1.999999999999992895e-01,6.750000000000000000e+00,2.664168648683065577e+00
2.500000000000035527e-01,6.750000000000000000e+00,2.664168648683065577e+00
1.500000000000021316e-01,6.800000000000000711e+00,2.664168648683065577e+00
5.000000000000071054e-02,6.850000000000001421e+00,2.664168648683065577e+00
1.000000000000014211e-01,6.850000000000001421e+00,2.664168648683065577e+00
-5.000000000000071054e-02,6.900000000000002132e+00,2.664168648683065577e+00
0.000000000000000000e+00,6.900000000000002132e+00,2.664168648683065577e+00
-1.499999999999985789e-01,6.949999999999999289e+00,2.664168648683065577e+00
-9.999999999999786837e-02,6.949999999999999289e+00,2.664168648683065577e+00
-2.500000000000000000e-01,7.000000000000000000e+00,2.664168648683065577e+00
-1.999999999999992895e-01,7.000000000000000000e+00,2.664168648683065577e+00
-3.499999999999978684e-01,7.050000000000000711e+00,2.664168648683065577e+00
-3.000000000000007105e-01,7.050000000000000711e+00,2.664168648683065577e+00
-4.499999999999992895e-01,7.100000000000001421e+00,2.664168648683065577e+00
-3.999999999999985789e-01,7.100000000000001421e+00,2.664168648683065577e+00
-5.500000000000007105e-01,7.150000000000002132e+00,2.664168648683065577e+00
-5.000000000000000000e-01,7.150000000000002132e+00,2.664168648683065577e+00
-6.499999999999985789e-01,7.199999999999999289e+00,2.664168648683065577e+00
-5.999999999999978684e-01,7.199999999999999289e+00,2.664168648683065577e+00
-7.500000000000000000e-01,7.250000000000000000e+00,2.664168648683065577e+00
-6.999999999999992895e-01,7.250000000000000000e+00,2.664168648683065577e+00
-8.000000000000007105e-01,7.300000000000000711e+00,2.664168648683065577e+00
-8.999999999999985789e-01,7.350000000000001421e+00,2.664168648683065577e+00
-8.499999999999978684e-01,7.350000000000001421e+00,2.664168648683065577e+00
-1.000000000000000000e+00,7.400000000000002132e+00,2.664168648683065577e+00
-9.499999999999992895e-01,7.400000000000002132e+00,2.664168648683065577e+00
-1.099999999999997868e+00,7.449999999999999289e+00,2.664168648683065577e+00
-1.050000000000000711e+00,7.449999999999999289e+00,2.664168648683065577e+00
-1.199999999999999289e+00,7.500000000000000000e+00,2.664168648683065577e+00
-1.149999999999998579e+00,7.500000000000000000e+00,2.664168648683065577e+00
-1.300000000000000711e+00,7.550000000000000711e+00,2.664168648683065577e+00
-1.250000000000000000e+00,7.550000000000000711e+00,2.664168648683065577e+00
-1.349999999999997868e+00,7.600000000000001421e+00,2.664168648683065577e+00
-1.399999999999998579e+00,7.650000000000002132e+00,2.664168648683065577e+00
-1.399999999999998579e+00,7.700000000000002842e+00,2.664168648683065577e+00
-1.500000000000000000e+00,7.750000000000000000e+00,2.664168648683065577e+00
-1.449999999999999289e+00,7.750000000000000000e+00,2.664168648683065577e+00
-1.599999999999997868e+00,7.800000000000000711e+00,2.664168648683065577e+00
-1.550000000000000711e+00,7.800000000000000711e+00,2.664168648683065577e+00
-1.699999999999999289e+00,7.850000000000001421e+00,2.664168648683065577e+00
-1.649999999999998579e+00,7.850000000000001421e+00,2.664168648683065577e+00
-1.800000000000000711e+00,7.900000000000002132e+00,2.664168648683065577e+00
-1.750000000000000000e+00,7.900000000000002132e+00,2.664168648683065577e+00
-2.099999999999997868e+00,7.950000000000002842e+00,2.664168648683065577e+00
-2.050000000000000711e+00,7.950000000000002842e+00,2.664168648683065577e+00
-2.000000000000000000e+00,7.950000000000002842e+00,2.664168648683065577e+00
-1.899999999999998579e+00,7.950000000000002842e+00,2.664168648683065577e+00
-1.849999999999997868e+00,7.950000000000002842e+00,2.664168648683065577e+00
-2.199999999999999289e+00,8.000000000000000000e+00,2.664168648683065577e+00
-2.149999999999998579e+00,8.000000000000000000e+00,2.664168648683065577e+00
-2.099999999999997868e+00,8.000000000000000000e+00,2.664168648683065577e+00
-2.050000000000000711e+00,8.000000000000000000e+00,2.664168648683065577e+00
