-2.314999999999999858e+01,1.750000000000000000e+01
-2.310000000000000142e+01,1.745000000000000284e+01
-2.305000000000000071e+01,1.730000000000000071e+01
-2.305000000000000071e+01,1.735000000000000142e+01
-2.305000000000000071e+01,1.740000000000000213e+01
-2.300000000000000000e+01,1.720000000000000284e+01
-2.300000000000000000e+01,1.725000000000000000e+01
-2.300000000000000000e+01,1.730000000000000071e+01
-2.295000000000000284e+01,1.710000000000000142e+01
-2.295000000000000284e+01,1.715000000000000213e+01
-2.289999999999999858e+01,1.700000000000000000e+01
-2.289999999999999858e+01,1.705000000000000071e+01
-2.285000000000000142e+01,1.690000000000000213e+01
-2.285000000000000142e+01,1.695000000000000284e+01
-2.280000000000000071e+01,1.680000000000000071e+01
-2.280000000000000071e+01,1.685000000000000142e+01
-2.275000000000000000e+01,1.670000000000000284e+01
-2.275000000000000000e+01,1.675000000000000000e+01
-2.270000000000000284e+01,1.660000000000000142e+01
-2.270000000000000284e+01,1.665000000000000213e+01
-2.264999999999999858e+01,1.650000000000000000e+01
-2.264999999999999858e+01,1.655000000000000071e+01
-2.260000000000000142e+01,1.640000000000000213e+01
-2.260000000000000142e+01,1.645000000000000284e+01
-2.255000000000000071e+01,1.630000000000000071e+01
-2.255000000000000071e+01,1.635000000000000142e+01
-2.250000000000000000e+01,1.620000000000000284e+01
-2.250000000000000000e+01,1.625000000000000000e+01
-2.245000000000000284e+01,1.610000000000000142e+01
-2.245000000000000284e+01,1.615000000000000213e+01
-2.239999999999999858e+01,1.600000000000000000e+01
-2.239999999999999858e+01,1.605000000000000071e+01
-2.235000000000000142e+01,1.590000000000000213e+01
-2.235000000000000142e+01,1.595000000000000284e+01
-2.230000000000000071e+01,1.580000000000000071e+01
-2.230000000000000071e+01,1.585000000000000142e+01
-2.225000000000000000e+01,1.570000000000000284e+01
-2.225000000000000000e+01,1.575000000000000000e+01
-2.219999999999999929e+01,1.560000000000000142e+01
-2.219999999999999929e+01,1.565000000000000213e+01
-2.214999999999999858e+01,1.550000000000000000e+01
-2.214999999999999858e+01,1.555000000000000071e+01
-2.210000000000000142e+01,1.540000000000000213e+01
-2.210000000000000142e+01,1.545000000000000284e+01
-2.205000000000000071e+01,1.530000000000000071e+01
-2.205000000000000071e+01,1.535000000000000142e+01
-2.200000000000000000e+01,1.520000000000000284e+01
-2.200000000000000000e+01,1.525000000000000000e+01
-2.194999999999999929e+01,1.510000000000000142e+01
-2.194999999999999929e+01,1.515000000000000213e+01
-2.189999999999999858e+01,1.500000000000000000e+01
-2.189999999999999858e+01,1.505000000000000071e+01
-2.185000000000000142e+01,1.490000000000000213e+01
-2.185000000000000142e+01,1.495000000000000284e+01
-2.180000000000000071e+01,1.480000000000000071e+01
-2.180000000000000071e+01,1.485000000000000142e+01
-2.175000000000000000e+01,1.475000000000000000e+01
-2.169999999999999929e+01,1.440000000000000213e+01
-2.169999999999999929e+01,1.445000000000000284e+01
-2.169999999999999929e+01,1.450000000000000000e+01
-2.169999999999999929e+01,1.455000000000000071e+01
-2.169999999999999929e+01,1.460000000000000142e+01
-2.169999999999999929e+01,1.465000000000000213e+01
-2.169999999999999929e+01,1.470000000000000284e+01
-2.164999999999999858e+01,1.435000000000000142e+01
-2.164999999999999858e+01,1.455000000000000071e+01
-2.164999999999999858e+01,1.460000000000000142e+01
-2.160000000000000142e+01,1.420000000000000284e+01
-2.160000000000000142e+01,1.425000000000000000e+01
-2.160000000000000142e+01,1.430000000000000071e+01
-2.155000000000000071e+01,1.410000000000000142e+01
-2.155000000000000071e+01,1.415000000000000213e+01
-2.155000000000000071e+01,1.420000000000000284e+01
-2.150000000000000000e+01,1.400000000000000000e+01
-2.150000000000000000e+01,1.405000000000000071e+01
-2.144999999999999929e+01,1.400000000000000000e+01
-2.139999999999999858e+01,1.395000000000000284e+01
-2.135000000000000142e+01,1.390000000000000213e+01
-2.130000000000000071e+01,1.380000000000000071e+01
-2.130000000000000071e+01,1.385000000000000142e+01
-2.125000000000000000e+01,1.370000000000000284e+01
-2.125000000000000000e+01,1.375000000000000000e+01
-2.119999999999999929e+01,1.360000000000000142e+01
-2.119999999999999929e+01,1.365000000000000213e+01
